iter	Passed	Remaining
427	1719	2297
428	1721	2290
429	1723	2283
430	1725	2278
431	1729	2274
432	1732	2268
433	1734	2262
434	1736	2256
435	1739	2249
436	1745	2248
437	1747	2242
438	1750	2236
439	1752	2230
440	1755	2224
441	1758	2219
442	1760	2213
443	1762	2207
444	1765	2201
445	1768	2196
446	1772	2192
447	1774	2186
448	1776	2180
449	1779	2174
450	1784	2171
451	1790	2170
452	1792	2164
453	1795	2159
454	1802	2158
455	1804	2153
456	1807	2147
457	1809	2141
458	1811	2135
459	1816	2132
460	1818	2126
461	1820	2119
462	1822	2113
463	1824	2108
464	1826	2101
465	1831	2098
466	1833	2093
467	1836	2087
468	1838	2081
469	1840	2075
470	1849	2076
471	1851	2071
472	1854	2066
473	1857	2061
474	1866	2063
475	1870	2058
476	1872	2053
477	1875	2047
478	1879	2043
479	1884	2041
480	1885	2034
481	1888	2029
482	1895	2028
483	1900	2025
484	1902	2020
485	1905	2015
486	1911	2013
487	1916	2010
488	1919	2005
489	1923	2002
490	1928	1999
491	1931	1994
492	1933	1988
493	1935	1982
494	1944	1983
495	1946	1978
496	1948	1972
497	1950	1966
498	1954	1962
499	1959	1959
500	1962	1954
501	1964	1948
502	1966	1943
503	1971	1940
504	1976	1937
505	1980	1933
506	1982	1927
507	1987	1925
508	1993	1923
509	1996	1917
510	1998	1912
511	2002	1908
512	2005	1903
513	2008	1898
514	2010	1893
515	2018	1893
516	2020	1887
517	2024	1883
518	2026	1878
519	2028	1872
520	2034	1870
521	2036	1864
522	2038	1859
523	2041	1854
524	2043	1848
525	2048	1846
526	2051	1841
527	2054	1836
528	2057	1831
529	2066	1832
530	2069	1827
531	2071	1822
532	2076	1819
533	2080	1815
534	2083	1810
535	2086	1806
536	2088	1800
537	2091	1796
538	2094	1791
539	2097	1786
540	2100	1782
541	2106	1779
542	2109	1775
543	2111	1769
544	2113	1764
545	2116	1759
546	2122	1757
547	2125	1752
548	2129	1748
549	2136	1747
550	2139	1743
551	2142	1739
552	2145	1734
553	2148	1729
554	2153	1726
555	2155	1721
556	2158	1716
557	2160	1711
558	2163	1706
559	2166	1702
560	2168	1697
561	2171	1692
562	2177	1689
563	2182	1687
564	2185	1682
565	2187	1677
566	2190	1672
567	2195	1669
568	2197	1664
569	2200	1659
570	2202	1654
571	2203	1649
572	2211	1647
573	2214	1643
574	2217	1638
575	2219	1633
576	2226	1632
577	2229	1627
578	2233	1624
579	2240	1622
580	2242	1617
581	2244	1612
582	2247	1607
583	2252	1604
584	2254	1599
585	2257	1594
586	2259	1589
587	2262	1585
588	2264	1580
589	2269	1576
590	2271	1571
591	2272	1566
592	2278	1563
593	2283	1560
594	2285	1555
595	2288	1550
596	2290	1546
597	2298	1545
598	2301	1540
599	2303	1535
600	2304	1530
601	2306	1525
602	2308	1519
603	2317	1519
604	2319	1514
605	2322	1509
606	2323	1504
607	2328	1501
608	2332	1497
609	2335	1492
610	2337	1488
611	2340	1483
612	2347	1482
613	2350	1477
614	2352	1472
615	2354	1467
616	2359	1464
617	2362	1460
618	2368	1457
619	2377	1457
620	2380	1452
621	2383	1448
622	2393	1448
623	2396	1443
624	2398	1439
625	2400	1434
626	2411	1434
627	2414	1430
628	2417	1425
629	2429	1426
630	2431	1422
631	2434	1417
632	2439	1414
633	2442	1410
634	2445	1405
635	2447	1400
636	2449	1395
637	2459	1395
638	2462	1391
639	2465	1386
640	2471	1384
641	2474	1379
642	2476	1375
643	2479	1370
644	2485	1368
645	2488	1363
646	2497	1362
647	2499	1357
648	2501	1352
649	2503	1347
650	2505	1342
651	2509	1339
652	2512	1335
653	2514	1330
654	2516	1325
655	2518	1320
656	2520	1315
657	2527	1313
658	2529	1309
659	2532	1304
660	2535	1300
661	2541	1297
662	2543	1292
663	2545	1288
664	2547	1283
665	2549	1278
666	2550	1273
667	2556	1270
668	2558	1265
669	2559	1260
670	2561	1256
671	2563	1251
672	2565	1246
673	2570	1243
674	2572	1238
675	2574	1233
676	2576	1229
677	2578	1224
678	2580	1219
679	2582	1215
680	2584	1210
681	2586	1206
682	2589	1201
683	2590	1196
684	2592	1192
685	2594	1187
686	2599	1184
687	2601	1179
688	2603	1174
689	2605	1170
690	2607	1165
691	2609	1161
692	2613	1157
693	2615	1153
694	2617	1148
695	2619	1144
696	2621	1139
697	2624	1135
698	2628	1132
699	2631	1127
700	2632	1123
701	2634	1118
702	2636	1113
703	2638	1109
704	2639	1104
705	2645	1101
706	2647	1097
707	2649	1092
708	2651	1088
709	2653	1083
710	2655	1079
711	2659	1075
712	2661	1071
713	2663	1066
714	2665	1062
715	2667	1057
716	2669	1053
717	2671	1049
718	2676	1045
719	2678	1041
720	2680	1037
721	2682	1032
722	2684	1028
723	2686	1024
724	2691	1021
725	2693	1016
726	2695	1012
727	2697	1007
728	2699	1003
729	2701	999
730	2707	996
731	2709	992
732	2712	987
733	2714	983
734	2716	979
735	2721	976
736	2723	971
737	2725	967
738	2726	963
739	2728	958
740	2730	954
741	2732	950
742	2737	946
743	2739	942
744	2741	938
745	2742	933
746	2744	929
747	2747	925
748	2751	922
749	2753	917
750	2755	913
751	2757	909
752	2760	905
753	2763	901
754	2768	898
755	2771	894
756	2773	890
757	2776	886
758	2778	882
759	2783	878
760	2786	875
761	2788	871
762	2793	867
763	2795	863
764	2798	859
765	2800	855
766	2802	851
767	2804	847
768	2806	842
769	2808	838
770	2812	835
771	2814	831
772	2816	827
773	2818	822
774	2820	818
775	2822	814
776	2824	810
777	2828	807
778	2830	802
779	2832	798
780	2834	794
781	2835	790
782	2837	786
783	2839	782
784	2843	778
785	2845	774
786	2847	770
787	2849	766
788	2851	762
789	2853	758
790	2855	754
791	2859	750
792	2861	746
793	2863	742
794	2865	738
795	2867	734
796	2869	730
797	2873	727
798	2875	723
799	2877	719
800	2878	715
801	2880	711
802	2882	707
803	2884	703
804	2888	699
805	2890	695
806	2892	691
807	2893	687
808	2895	683
809	2897	679
810	2900	675
811	2904	672
812	2906	668
813	2908	664
814	2909	660
815	2911	656
816	2913	652
817	2915	648
818	2920	645
819	2922	641
820	2924	637
821	2926	633
822	2928	629
823	2930	625
824	2933	622
825	2936	618
826	2937	614
827	2939	610
828	2941	606
829	2943	602
830	2945	598
831	2948	595
832	2951	591
833	2953	587
834	2955	583
835	2957	580
836	2959	576
837	2960	572
838	2965	569
839	2967	565
840	2969	561
841	2971	557
842	2972	553
843	2974	549
844	2977	546
845	2980	542
846	2983	538
847	2985	535
848	2987	531
